EQUAL | LIST SIZE: 10 . REQUESTS SIZE: 10 .RATIO: 3.4545
EQUAL | LIST SIZE: 20 . REQUESTS SIZE: 20 .RATIO: 3.7143
EQUAL | LIST SIZE: 30 . REQUESTS SIZE: 30 .RATIO: 3.8065
EQUAL | LIST SIZE: 40 . REQUESTS SIZE: 40 .RATIO: 3.8537
EQUAL | LIST SIZE: 50 . REQUESTS SIZE: 50 .RATIO: 3.8824
EQUAL | LIST SIZE: 60 . REQUESTS SIZE: 60 .RATIO: 3.9016
EQUAL | LIST SIZE: 70 . REQUESTS SIZE: 70 .RATIO: 3.9155
EQUAL | LIST SIZE: 80 . REQUESTS SIZE: 80 .RATIO: 3.9259
EQUAL | LIST SIZE: 90 . REQUESTS SIZE: 90 .RATIO: 3.9341
EQUAL | LIST SIZE: 100 . REQUESTS SIZE: 100 .RATIO: 3.9406
EQUAL | LIST SIZE: 100 . REQUESTS SIZE: 100 .RATIO: 3.9406
EQUAL | LIST SIZE: 200 . REQUESTS SIZE: 200 .RATIO: 3.9701
EQUAL | LIST SIZE: 300 . REQUESTS SIZE: 300 .RATIO: 3.9801
EQUAL | LIST SIZE: 400 . REQUESTS SIZE: 400 .RATIO: 3.9850
EQUAL | LIST SIZE: 500 . REQUESTS SIZE: 500 .RATIO: 3.9880
EQUAL | LIST SIZE: 600 . REQUESTS SIZE: 600 .RATIO: 3.9900
EQUAL | LIST SIZE: 700 . REQUESTS SIZE: 700 .RATIO: 3.9914
EQUAL | LIST SIZE: 800 . REQUESTS SIZE: 800 .RATIO: 3.9925
EQUAL | LIST SIZE: 900 . REQUESTS SIZE: 900 .RATIO: 3.9933
EQUAL | LIST SIZE: 1000 . REQUESTS SIZE: 1000 .RATIO: 3.9940
EQUAL | LIST SIZE: 1000 . REQUESTS SIZE: 1000 .RATIO: 3.9940
EQUAL | LIST SIZE: 2000 . REQUESTS SIZE: 2000 .RATIO: 3.9970
EQUAL | LIST SIZE: 3000 . REQUESTS SIZE: 3000 .RATIO: 3.9980
EQUAL | LIST SIZE: 4000 . REQUESTS SIZE: 4000 .RATIO: 3.9985
EQUAL | LIST SIZE: 5000 . REQUESTS SIZE: 5000 .RATIO: 3.9988
EQUAL | LIST SIZE: 6000 . REQUESTS SIZE: 6000 .RATIO: 3.9990
EQUAL | LIST SIZE: 7000 . REQUESTS SIZE: 7000 .RATIO: 3.9991
EQUAL | LIST SIZE: 8000 . REQUESTS SIZE: 8000 .RATIO: 3.9993
